2021-05-18 16:41:10.954650 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:41:15.961329 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:41:20.966298 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:41:25.971413 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:41:30.975967 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:41:35.980743 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:41:40.987285 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:41:45.991019 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:41:50.996328 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:41:56.000640 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:42:01.005721 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:42:06.010611 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:42:11.016672 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:42:16.021755 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:42:21.032266 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:42:26.039020 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:42:31.043210 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:42:36.047430 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:42:41.051760 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:42:46.056462 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:42:51.062726 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:42:56.124575 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:43:01.130195 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:43:06.135481 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:43:11.142412 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:43:16.148123 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:43:21.153893 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:43:26.160097 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:43:31.165092 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:43:36.169272 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:43:41.174331 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:43:46.179023 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:43:51.182658 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:43:56.186719 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:44:01.195892 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:44:06.200924 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:44:11.205279 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:44:16.210348 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:44:21.218483 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:44:26.225096 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:44:31.230508 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:44:36.235528 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:44:41.242444 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:44:46.247540 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:44:51.253045 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:44:56.257809 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:45:01.263141 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:45:06.267652 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:45:11.272863 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:45:16.277193 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:45:21.282499 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:45:26.288287 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:45:31.293179 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:45:36.299344 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:45:41.304618 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:45:46.308941 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:45:51.313138 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:45:56.318520 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:46:01.323415 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:46:06.327760 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:46:11.332609 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:46:16.336674 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:46:21.342089 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:46:26.346580 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:46:31.351472 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:46:36.356172 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:46:41.360840 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:46:46.365021 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:46:51.369895 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:46:56.374066 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:47:01.378124 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:47:06.383388 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:47:11.388466 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:47:16.393131 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:47:21.397868 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:47:26.401948 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:47:31.406652 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:47:36.410481 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:47:41.415106 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:47:46.419168 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:47:51.424877 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:47:56.429513 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:48:01.434730 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:48:06.440368 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:48:11.445487 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:48:16.449331 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:48:21.454303 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:48:26.458157 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:48:31.463900 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:48:36.469361 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:48:41.474460 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:48:46.478070 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:48:51.482386 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:48:56.488382 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:49:01.493745 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:49:06.497586 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:49:11.502504 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:49:16.506757 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:49:21.511352 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:49:26.517142 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:49:31.520876 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:49:36.524687 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:49:41.528754 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:49:46.533092 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:49:51.538301 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:49:56.543231 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:50:01.547274 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:50:06.552352 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:50:11.557307 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:50:16.562642 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:50:21.568236 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:50:26.572914 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:50:31.578924 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:50:36.584641 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:50:41.590976 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:50:46.595810 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:50:51.602111 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:50:56.606862 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:51:01.612562 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:51:06.618351 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:51:11.623699 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:51:16.629245 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:51:21.634570 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:51:26.639049 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:51:31.644007 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:51:36.648060 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:51:41.653217 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:51:46.656769 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:51:51.661094 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:51:56.664891 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:52:01.668809 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:52:06.674773 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:52:11.680399 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:52:16.685063 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:52:21.689712 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:52:26.693670 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:52:31.698663 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:52:36.702939 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:52:41.707439 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:52:46.711234 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:52:51.715320 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:52:56.720995 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:53:01.725615 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:53:06.730960 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:53:11.736657 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:53:16.740157 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:53:21.751793 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:53:26.757705 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:53:31.762446 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:53:36.767175 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:53:41.771557 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:53:46.774807 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:53:51.780474 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:53:56.784530 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:54:01.788881 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:54:06.792418 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:54:11.797000 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:54:16.801304 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:54:21.804814 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:54:26.808874 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:54:31.814188 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:54:36.819299 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:54:41.822958 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:54:46.827164 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:54:51.831922 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:54:56.837295 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:55:01.842368 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:55:06.847528 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:55:11.852760 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:55:16.857551 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:55:21.874117 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:55:26.878885 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:55:31.884026 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:55:36.888736 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:55:41.893353 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:55:46.898799 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:55:51.904185 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:55:56.908346 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:56:01.913484 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:56:06.918449 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:56:11.924349 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:56:16.928772 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:56:21.933593 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:56:26.939272 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:56:31.944707 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:56:36.949444 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:56:41.953474 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:56:46.957961 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:56:51.962479 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:56:56.966527 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:57:01.970940 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:57:06.976711 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:57:11.980404 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:57:16.984282 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:57:21.990748 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:57:26.994862 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:57:32.000547 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:57:37.006624 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:57:42.013069 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:57:47.019454 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:57:52.025583 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:57:57.031821 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:58:02.036399 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:58:07.041991 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:58:12.048753 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:58:17.053959 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:58:22.067790 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:58:27.072962 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:58:32.078804 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:58:37.083732 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:58:42.088321 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:58:47.093487 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:58:52.099523 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:58:57.104368 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:59:02.111945 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:59:07.117035 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:59:12.122787 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:59:17.127403 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:59:22.133286 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:59:27.138731 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:59:32.144209 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:59:37.148808 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:59:42.154193 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:59:47.160536 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:59:52.165991 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 16:59:57.171198 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 17:00:02.175866 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 17:00:07.180344 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 17:00:12.184948 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 17:00:17.189217 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 17:00:22.193516 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 17:00:27.196832 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 17:00:32.200593 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 17:00:37.205265 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 17:00:42.209631 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
2021-05-18 17:00:47.213002 WARNING HASS: Disconnected from Home Assistant, retrying in 5 seconds
